day,requested,sent,returned,party,method,daysLeft,year
2020-09-18,344113.0,309336.0,70970.0,DEM,MAIL,46,2020
2020-09-18,0.0,0.0,0.0,DEM,EARLY VOTING,46,2020
2020-09-19,345936.0,310650.0,73515.0,DEM,MAIL,45,2020
2020-09-19,0.0,0.0,0.0,DEM,EARLY VOTING,45,2020
2020-09-20,347182.0,311577.0,73736.0,DEM,MAIL,44,2020
2020-09-20,0.0,0.0,0.0,DEM,EARLY VOTING,44,2020
2020-09-21,354580.0,320478.0,90233.0,DEM,MAIL,43,2020
2020-09-21,0.0,0.0,0.0,DEM,EARLY VOTING,43,2020
2020-09-22,358600.0,325359.0,100252.0,DEM,MAIL,42,2020
2020-09-22,0.0,0.0,0.0,DEM,EARLY VOTING,42,2020
2020-09-23,364273.0,331418.0,113800.0,DEM,MAIL,41,2020
2020-09-23,0.0,0.0,0.0,DEM,EARLY VOTING,41,2020
2020-09-24,369676.0,340182.0,126153.0,DEM,MAIL,40,2020
2020-09-24,0.0,0.0,0.0,DEM,EARLY VOTING,40,2020
2020-09-25,373310.0,344375.0,135478.0,DEM,MAIL,39,2020
2020-09-25,0.0,0.0,0.0,DEM,EARLY VOTING,39,2020
2020-09-26,374733.0,344861.0,138945.0,DEM,MAIL,38,2020
2020-09-26,0.0,0.0,0.0,DEM,EARLY VOTING,38,2020
2020-09-27,375637.0,346128.0,139241.0,DEM,MAIL,37,2020
2020-09-27,0.0,0.0,0.0,DEM,EARLY VOTING,37,2020
2020-09-28,381180.0,357362.0,151646.0,DEM,MAIL,36,2020
2020-09-28,0.0,0.0,0.0,DEM,EARLY VOTING,36,2020
2020-09-29,384871.0,360581.0,155925.0,DEM,MAIL,35,2020
2020-09-29,0.0,0.0,0.0,DEM,EARLY VOTING,35,2020
2020-09-30,390474.0,365607.0,169684.0,DEM,MAIL,34,2020
2020-09-30,0.0,0.0,0.0,DEM,EARLY VOTING,34,2020
2020-10-01,394088.0,373200.0,177076.0,DEM,MAIL,33,2020
2020-10-01,0.0,0.0,0.0,DEM,EARLY VOTING,33,2020
2020-10-02,397692.0,377038.0,187564.0,DEM,MAIL,32,2020
2020-10-02,0.0,0.0,0.0,DEM,EARLY VOTING,32,2020
2020-10-03,399042.0,377311.0,192018.0,DEM,MAIL,31,2020
2020-10-03,0.0,0.0,0.0,DEM,EARLY VOTING,31,2020
2020-10-04,400280.0,377560.0,192859.0,DEM,MAIL,30,2020
2020-10-04,0.0,0.0,0.0,DEM,EARLY VOTING,30,2020
2020-10-05,405096.0,386197.0,205011.0,DEM,MAIL,29,2020
2020-10-05,0.0,0.0,0.0,DEM,EARLY VOTING,29,2020
2020-10-06,408391.0,390016.0,210630.0,DEM,MAIL,28,2020
2020-10-06,0.0,0.0,0.0,DEM,EARLY VOTING,28,2020
2020-10-07,411296.0,397267.0,222206.0,DEM,MAIL,27,2020
2020-10-07,0.0,0.0,0.0,DEM,EARLY VOTING,27,2020
2020-10-08,415332.0,400684.0,232249.0,DEM,MAIL,26,2020
2020-10-08,0.0,0.0,0.0,DEM,EARLY VOTING,26,2020
2020-10-09,418543.0,403839.0,242603.0,DEM,MAIL,25,2020
2020-10-09,0.0,0.0,0.0,DEM,EARLY VOTING,25,2020
2020-10-10,419734.0,404469.0,246256.0,DEM,MAIL,24,2020
2020-10-10,0.0,0.0,0.0,DEM,EARLY VOTING,24,2020
2020-10-11,420415.0,405163.0,247549.0,DEM,MAIL,23,2020
2020-10-11,0.0,0.0,0.0,DEM,EARLY VOTING,23,2020
2020-10-12,422584.0,411612.0,253158.0,DEM,MAIL,22,2020
2020-10-12,0.0,0.0,0.0,DEM,EARLY VOTING,22,2020
2020-10-13,424719.0,416621.0,261086.0,DEM,MAIL,21,2020
2020-10-13,0.0,0.0,0.0,DEM,EARLY VOTING,21,2020
2020-10-14,426455.0,418441.0,273454.0,DEM,MAIL,20,2020
2020-10-14,0.0,0.0,0.0,DEM,EARLY VOTING,20,2020
2020-10-15,428714.0,420076.0,285099.0,DEM,MAIL,19,2020
2020-10-15,166433.0,166433.0,166433.0,DEM,EARLY VOTING,19,2020
2020-10-16,430631.0,423347.0,298844.0,DEM,MAIL,18,2020
2020-10-16,297119.0,297119.0,297119.0,DEM,EARLY VOTING,18,2020
2020-10-17,431548.0,423840.0,304899.0,DEM,MAIL,17,2020
2020-10-17,369934.0,369934.0,369934.0,DEM,EARLY VOTING,17,2020
2020-10-18,432170.0,424252.0,307307.0,DEM,MAIL,16,2020
2020-10-18,410036.0,410036.0,410036.0,DEM,EARLY VOTING,16,2020
2020-10-19,433996.0,428142.0,321488.0,DEM,MAIL,15,2020
2020-10-19,524408.0,524408.0,524408.0,DEM,EARLY VOTING,15,2020
2020-10-20,435297.0,430504.0,330315.0,DEM,MAIL,14,2020
2020-10-20,622889.0,622889.0,622889.0,DEM,EARLY VOTING,14,2020
2020-10-21,436661.0,432605.0,344048.0,DEM,MAIL,13,2020
2020-10-21,707027.0,707027.0,707027.0,DEM,EARLY VOTING,13,2020
2020-10-22,437843.0,435087.0,354804.0,DEM,MAIL,12,2020
2020-10-22,779186.0,779186.0,779186.0,DEM,EARLY VOTING,12,2020
2020-10-23,438884.0,436613.0,365051.0,DEM,MAIL,11,2020
2020-10-23,849986.0,849986.0,849986.0,DEM,EARLY VOTING,11,2020
2020-10-24,439370.0,437388.0,370154.0,DEM,MAIL,10,2020
2020-10-24,892455.0,892455.0,892455.0,DEM,EARLY VOTING,10,2020
2020-10-25,439615.0,437603.0,371315.0,DEM,MAIL,9,2020
2020-10-25,915055.0,915055.0,915055.0,DEM,EARLY VOTING,9,2020
2020-10-26,440525.0,439316.0,381721.0,DEM,MAIL,8,2020
2020-10-26,981903.0,981903.0,981903.0,DEM,EARLY VOTING,8,2020
2020-10-27,441430.0,440264.0,388009.0,DEM,MAIL,7,2020
2020-10-27,1044244.0,1044244.0,1044244.0,DEM,EARLY VOTING,7,2020
2020-10-28,441575.0,441145.0,399020.0,DEM,MAIL,6,2020
2020-10-28,1102696.0,1102696.0,1102696.0,DEM,EARLY VOTING,6,2020
2020-10-29,441687.0,441467.0,408457.0,DEM,MAIL,5,2020
2020-10-29,1155496.0,1155496.0,1155496.0,DEM,EARLY VOTING,5,2020
2020-10-30,441796.0,441699.0,416536.0,DEM,MAIL,4,2020
2020-10-30,1225916.0,1225916.0,1225916.0,DEM,EARLY VOTING,4,2020
2020-10-31,441849.0,441788.0,422231.0,DEM,MAIL,3,2020
2020-10-31,1280891.0,1280891.0,1280891.0,DEM,EARLY VOTING,3,2020
2020-11-01,441872.0,441828.0,424445.0,DEM,MAIL,2,2020
2020-11-01,1280891.0,1280891.0,1280891.0,DEM,EARLY VOTING,2,2020
2020-11-02,442014.0,442013.0,431321.0,DEM,MAIL,1,2020
2020-11-02,1280891.0,1280891.0,1280891.0,DEM,EARLY VOTING,1,2020
2020-11-03,442014.0,442014.0,438364.0,DEM,MAIL,0,2020
2020-11-03,1280891.0,1280891.0,1280891.0,DEM,EARLY VOTING,0,2020
2020-09-18,133895.0,114560.0,19697.0,REP,MAIL,46,2020
2020-09-18,0.0,0.0,0.0,REP,EARLY VOTING,46,2020
2020-09-19,134996.0,115470.0,20305.0,REP,MAIL,45,2020
2020-09-19,0.0,0.0,0.0,REP,EARLY VOTING,45,2020
2020-09-20,135801.0,115969.0,20368.0,REP,MAIL,44,2020
2020-09-20,0.0,0.0,0.0,REP,EARLY VOTING,44,2020
2020-09-21,140309.0,120343.0,25557.0,REP,MAIL,43,2020
2020-09-21,0.0,0.0,0.0,REP,EARLY VOTING,43,2020
2020-09-22,143543.0,123613.0,28313.0,REP,MAIL,42,2020
2020-09-22,0.0,0.0,0.0,REP,EARLY VOTING,42,2020
2020-09-23,147212.0,127037.0,32736.0,REP,MAIL,41,2020
2020-09-23,0.0,0.0,0.0,REP,EARLY VOTING,41,2020
2020-09-24,150361.0,132394.0,36926.0,REP,MAIL,40,2020
2020-09-24,0.0,0.0,0.0,REP,EARLY VOTING,40,2020
2020-09-25,152677.0,135311.0,40215.0,REP,MAIL,39,2020
2020-09-25,0.0,0.0,0.0,REP,EARLY VOTING,39,2020
2020-09-26,153732.0,135558.0,41515.0,REP,MAIL,38,2020
2020-09-26,0.0,0.0,0.0,REP,EARLY VOTING,38,2020
2020-09-27,154400.0,136066.0,41646.0,REP,MAIL,37,2020
2020-09-27,0.0,0.0,0.0,REP,EARLY VOTING,37,2020
2020-09-28,157837.0,143528.0,46583.0,REP,MAIL,36,2020
2020-09-28,0.0,0.0,0.0,REP,EARLY VOTING,36,2020
2020-09-29,160646.0,145880.0,47967.0,REP,MAIL,35,2020
2020-09-29,0.0,0.0,0.0,REP,EARLY VOTING,35,2020
2020-09-30,164167.0,148931.0,53052.0,REP,MAIL,34,2020
2020-09-30,0.0,0.0,0.0,REP,EARLY VOTING,34,2020
2020-10-01,166673.0,153098.0,56070.0,REP,MAIL,33,2020
2020-10-01,0.0,0.0,0.0,REP,EARLY VOTING,33,2020
2020-10-02,168977.0,155618.0,60044.0,REP,MAIL,32,2020
2020-10-02,0.0,0.0,0.0,REP,EARLY VOTING,32,2020
2020-10-03,169971.0,155883.0,61681.0,REP,MAIL,31,2020
2020-10-03,0.0,0.0,0.0,REP,EARLY VOTING,31,2020
2020-10-04,170915.0,156009.0,61886.0,REP,MAIL,30,2020
2020-10-04,0.0,0.0,0.0,REP,EARLY VOTING,30,2020
2020-10-05,174556.0,161722.0,67146.0,REP,MAIL,29,2020
2020-10-05,0.0,0.0,0.0,REP,EARLY VOTING,29,2020
2020-10-06,177091.0,164496.0,69437.0,REP,MAIL,28,2020
2020-10-06,0.0,0.0,0.0,REP,EARLY VOTING,28,2020
2020-10-07,179522.0,169442.0,74426.0,REP,MAIL,27,2020
2020-10-07,0.0,0.0,0.0,REP,EARLY VOTING,27,2020
2020-10-08,182524.0,172103.0,78614.0,REP,MAIL,26,2020
2020-10-08,0.0,0.0,0.0,REP,EARLY VOTING,26,2020
2020-10-09,185084.0,174690.0,83220.0,REP,MAIL,25,2020
2020-10-09,0.0,0.0,0.0,REP,EARLY VOTING,25,2020
2020-10-10,186080.0,175224.0,84952.0,REP,MAIL,24,2020
2020-10-10,0.0,0.0,0.0,REP,EARLY VOTING,24,2020
2020-10-11,186707.0,175551.0,85575.0,REP,MAIL,23,2020
2020-10-11,0.0,0.0,0.0,REP,EARLY VOTING,23,2020
2020-10-12,188407.0,180284.0,88007.0,REP,MAIL,22,2020
2020-10-12,0.0,0.0,0.0,REP,EARLY VOTING,22,2020
2020-10-13,190188.0,183889.0,91923.0,REP,MAIL,21,2020
2020-10-13,0.0,0.0,0.0,REP,EARLY VOTING,21,2020
2020-10-14,191664.0,185243.0,97563.0,REP,MAIL,20,2020
2020-10-14,0.0,0.0,0.0,REP,EARLY VOTING,20,2020
2020-10-15,193554.0,186640.0,102962.0,REP,MAIL,19,2020
2020-10-15,95227.0,95227.0,95227.0,REP,EARLY VOTING,19,2020
2020-10-16,195032.0,189087.0,109531.0,REP,MAIL,18,2020
2020-10-16,197241.0,197241.0,197241.0,REP,EARLY VOTING,18,2020
2020-10-17,195824.0,189588.0,112881.0,REP,MAIL,17,2020
2020-10-17,248720.0,248720.0,248720.0,REP,EARLY VOTING,17,2020
2020-10-18,196429.0,189902.0,113753.0,REP,MAIL,16,2020
2020-10-18,270579.0,270579.0,270579.0,REP,EARLY VOTING,16,2020
2020-10-19,197994.0,192971.0,121372.0,REP,MAIL,15,2020
2020-10-19,373389.0,373389.0,373389.0,REP,EARLY VOTING,15,2020
2020-10-20,199259.0,194830.0,125778.0,REP,MAIL,14,2020
2020-10-20,473834.0,473834.0,473834.0,REP,EARLY VOTING,14,2020
2020-10-21,200486.0,196936.0,134933.0,REP,MAIL,13,2020
2020-10-21,566415.0,566415.0,566415.0,REP,EARLY VOTING,13,2020
2020-10-22,201458.0,199049.0,141882.0,REP,MAIL,12,2020
2020-10-22,650555.0,650555.0,650555.0,REP,EARLY VOTING,12,2020
2020-10-23,202500.0,200466.0,148515.0,REP,MAIL,11,2020
2020-10-23,738622.0,738622.0,738622.0,REP,EARLY VOTING,11,2020
2020-10-24,202876.0,201131.0,151613.0,REP,MAIL,10,2020
2020-10-24,783903.0,783903.0,783903.0,REP,EARLY VOTING,10,2020
2020-10-25,203124.0,201308.0,152268.0,REP,MAIL,9,2020
2020-10-25,804697.0,804697.0,804697.0,REP,EARLY VOTING,9,2020
2020-10-26,204029.0,202859.0,159321.0,REP,MAIL,8,2020
2020-10-26,889647.0,889647.0,889647.0,REP,EARLY VOTING,8,2020
2020-10-27,204953.0,203879.0,163351.0,REP,MAIL,7,2020
2020-10-27,969652.0,969652.0,969652.0,REP,EARLY VOTING,7,2020
2020-10-28,205072.0,204780.0,171726.0,REP,MAIL,6,2020
2020-10-28,1046424.0,1046424.0,1046424.0,REP,EARLY VOTING,6,2020
2020-10-29,205168.0,204981.0,178985.0,REP,MAIL,5,2020
2020-10-29,1116990.0,1116990.0,1116990.0,REP,EARLY VOTING,5,2020
2020-10-30,205277.0,205197.0,184745.0,REP,MAIL,4,2020
2020-10-30,1204552.0,1204552.0,1204552.0,REP,EARLY VOTING,4,2020
2020-10-31,205324.0,205274.0,189131.0,REP,MAIL,3,2020
2020-10-31,1258727.0,1258727.0,1258727.0,REP,EARLY VOTING,3,2020
2020-11-01,205354.0,205316.0,190677.0,REP,MAIL,2,2020
2020-11-01,1258727.0,1258727.0,1258727.0,REP,EARLY VOTING,2,2020
2020-11-02,205520.0,205520.0,196106.0,REP,MAIL,1,2020
2020-11-02,1258727.0,1258727.0,1258727.0,REP,EARLY VOTING,1,2020
2020-11-03,205520.0,205520.0,201793.0,REP,MAIL,0,2020
2020-11-03,1258727.0,1258727.0,1258727.0,REP,EARLY VOTING,0,2020
2024-09-20,40502.0,6240.0,59.0,OTH,MAIL,46,2024
2024-09-20,0.0,0.0,0.0,OTH,EARLY VOTING,46,2024
2024-09-21,41023.0,7188.0,138.0,OTH,MAIL,45,2024
2024-09-21,0.0,0.0,0.0,OTH,EARLY VOTING,45,2024
2024-09-22,41560.0,7204.0,227.0,OTH,MAIL,44,2024
2024-09-22,0.0,0.0,0.0,OTH,EARLY VOTING,44,2024
2024-09-23,42722.0,7556.0,566.0,OTH,MAIL,43,2024
2024-09-23,0.0,0.0,0.0,OTH,EARLY VOTING,43,2024
2024-09-24,44121.0,41387.0,882.0,OTH,MAIL,42,2024
2024-09-24,0.0,0.0,0.0,OTH,EARLY VOTING,42,2024
2024-09-25,45171.0,43252.0,1366.0,OTH,MAIL,41,2024
2024-09-25,0.0,0.0,0.0,OTH,EARLY VOTING,41,2024
2024-09-26,46172.0,44483.0,1540.0,OTH,MAIL,40,2024
2024-09-26,0.0,0.0,0.0,OTH,EARLY VOTING,40,2024
2024-09-27,46930.0,45350.0,1763.0,OTH,MAIL,39,2024
2024-09-27,0.0,0.0,0.0,OTH,EARLY VOTING,39,2024
2024-09-28,47374.0,45406.0,2014.0,OTH,MAIL,38,2024
2024-09-28,0.0,0.0,0.0,OTH,EARLY VOTING,38,2024
2024-09-29,47819.0,45420.0,2090.0,OTH,MAIL,37,2024
2024-09-29,0.0,0.0,0.0,OTH,EARLY VOTING,37,2024
2024-09-30,48739.0,46727.0,2977.0,OTH,MAIL,36,2024
2024-09-30,0.0,0.0,0.0,OTH,EARLY VOTING,36,2024
2024-10-01,49595.0,47814.0,3728.0,OTH,MAIL,35,2024
2024-10-01,0.0,0.0,0.0,OTH,EARLY VOTING,35,2024
2024-10-02,50425.0,49064.0,4960.0,OTH,MAIL,34,2024
2024-10-02,0.0,0.0,0.0,OTH,EARLY VOTING,34,2024
2024-10-03,51340.0,49920.0,6542.0,OTH,MAIL,33,2024
2024-10-03,0.0,0.0,0.0,OTH,EARLY VOTING,33,2024
2024-10-04,52159.0,50972.0,8035.0,OTH,MAIL,32,2024
2024-10-04,0.0,0.0,0.0,OTH,EARLY VOTING,32,2024
2024-10-05,52673.0,51180.0,8540.0,OTH,MAIL,31,2024
2024-10-05,0.0,0.0,0.0,OTH,EARLY VOTING,31,2024
2024-10-06,53226.0,51216.0,8619.0,OTH,MAIL,30,2024
2024-10-06,0.0,0.0,0.0,OTH,EARLY VOTING,30,2024
2024-10-07,54313.0,52441.0,11113.0,OTH,MAIL,29,2024
2024-10-07,0.0,0.0,0.0,OTH,EARLY VOTING,29,2024
2024-10-08,55469.0,53472.0,12691.0,OTH,MAIL,28,2024
2024-10-08,0.0,0.0,0.0,OTH,EARLY VOTING,28,2024
2024-10-09,56743.0,54973.0,14620.0,OTH,MAIL,27,2024
2024-10-09,0.0,0.0,0.0,OTH,EARLY VOTING,27,2024
2024-10-10,57487.0,56066.0,16350.0,OTH,MAIL,26,2024
2024-10-10,0.0,0.0,0.0,OTH,EARLY VOTING,26,2024
2024-10-11,58128.0,57090.0,18930.0,OTH,MAIL,25,2024
2024-10-11,0.0,0.0,0.0,OTH,EARLY VOTING,25,2024
2024-10-12,58469.0,57238.0,19982.0,OTH,MAIL,24,2024
2024-10-12,0.0,0.0,0.0,OTH,EARLY VOTING,24,2024
2024-10-13,58793.0,57273.0,20130.0,OTH,MAIL,23,2024
2024-10-13,0.0,0.0,0.0,OTH,EARLY VOTING,23,2024
2024-10-14,59347.0,58277.0,21732.0,OTH,MAIL,22,2024
2024-10-14,0.0,0.0,0.0,OTH,EARLY VOTING,22,2024
2024-10-15,59832.0,59072.0,23612.0,OTH,MAIL,21,2024
2024-10-15,0.0,0.0,0.0,OTH,EARLY VOTING,21,2024
2024-10-16,60267.0,59668.0,25269.0,OTH,MAIL,20,2024
2024-10-16,0.0,0.0,0.0,OTH,EARLY VOTING,20,2024
2024-10-17,60629.0,60175.0,28659.0,OTH,MAIL,19,2024
2024-10-17,104349.0,104349.0,104349.0,OTH,EARLY VOTING,19,2024
2024-10-18,60915.0,60640.0,32546.0,OTH,MAIL,18,2024
2024-10-18,211466.0,211466.0,211466.0,OTH,EARLY VOTING,18,2024
2024-10-19,61037.0,60758.0,34869.0,OTH,MAIL,17,2024
2024-10-19,266879.0,266879.0,266879.0,OTH,EARLY VOTING,17,2024
2024-10-20,61118.0,60793.0,35950.0,OTH,MAIL,16,2024
2024-10-20,292818.0,292818.0,292818.0,OTH,EARLY VOTING,16,2024
2024-10-21,61284.0,61071.0,40020.0,OTH,MAIL,15,2024
2024-10-21,398950.0,398950.0,398950.0,OTH,EARLY VOTING,15,2024
2024-10-22,61376.0,61264.0,42530.0,OTH,MAIL,14,2024
2024-10-22,500672.0,500672.0,500672.0,OTH,EARLY VOTING,14,2024
2024-10-23,61423.0,61343.0,45765.0,OTH,MAIL,13,2024
2024-10-23,596723.0,596723.0,596723.0,OTH,EARLY VOTING,13,2024
2024-10-24,61496.0,61448.0,50605.0,OTH,MAIL,12,2024
2024-10-24,688207.0,688207.0,688207.0,OTH,EARLY VOTING,12,2024
2024-10-25,61526.0,61481.0,54299.0,OTH,MAIL,11,2024
2024-10-25,787483.0,787483.0,787483.0,OTH,EARLY VOTING,11,2024
2024-10-26,61538.0,61527.0,56954.0,OTH,MAIL,10,2024
2024-10-26,836350.0,836350.0,836350.0,OTH,EARLY VOTING,10,2024
2024-10-27,61538.0,61531.0,58428.0,OTH,MAIL,9,2024
2024-10-27,864513.0,864513.0,864513.0,OTH,EARLY VOTING,9,2024
2024-10-28,61540.0,61540.0,61535.0,OTH,MAIL,8,2024
2024-10-28,956472.0,956472.0,956472.0,OTH,EARLY VOTING,8,2024
2024-09-20,40035.0,6482.0,64.0,DEM,MAIL,46,2024
2024-09-20,0.0,0.0,0.0,DEM,EARLY VOTING,46,2024
2024-09-21,40435.0,7183.0,177.0,DEM,MAIL,45,2024
2024-09-21,0.0,0.0,0.0,DEM,EARLY VOTING,45,2024
2024-09-22,40856.0,7191.0,284.0,DEM,MAIL,44,2024
2024-09-22,0.0,0.0,0.0,DEM,EARLY VOTING,44,2024
2024-09-23,42000.0,7528.0,728.0,DEM,MAIL,43,2024
2024-09-23,0.0,0.0,0.0,DEM,EARLY VOTING,43,2024
2024-09-24,43235.0,40854.0,1102.0,DEM,MAIL,42,2024
2024-09-24,0.0,0.0,0.0,DEM,EARLY VOTING,42,2024
2024-09-25,44190.0,42484.0,1666.0,DEM,MAIL,41,2024
2024-09-25,0.0,0.0,0.0,DEM,EARLY VOTING,41,2024
2024-09-26,44989.0,43555.0,1856.0,DEM,MAIL,40,2024
2024-09-26,0.0,0.0,0.0,DEM,EARLY VOTING,40,2024
2024-09-27,45636.0,44257.0,2173.0,DEM,MAIL,39,2024
2024-09-27,0.0,0.0,0.0,DEM,EARLY VOTING,39,2024
2024-09-28,46040.0,44317.0,2410.0,DEM,MAIL,38,2024
